#################################################################################################################
P1: agen=15, iter=30						
40	random_search		greedy		random_flight		greedy		-14.2751804	15,478.19
40	random_flight		greedy		genetic_mutation	greedy		-14.2554261	15,588.91
40	local_random_walk	greedy		firefly_dynamic		all		-14.1189419	15,423.72
40	random_search		greedy		firefly_dynamic		all		-14.2639944	15,406.11
40	spiral_dynamic		all		central_force_dynamic	all		-14.0894253	15,522.43


50	differential_mutation	greedy		random_flight		greedy		-14.27051191	19,818
50	genetic_mutation	greedy		random_flight		greedy		-14.27042033	19,886.27
50	random_search		greedy		random_flight		greedy		-14.27015983	19,812.92
50	central_force_dynamic	all		local_random_walk	greedy		-14.16571138	19,866.08
50	random_sample		all		random_search		greedy		-14.18445361	19,802.21

60	genetic_mutation	greedy		random_flight		greedy		-14.26462885	23,219.53
60	random_flight		greedy		differential_mutation	greedy		-14.26465003	23,255.74
60	random_flight		greedy		local_random_walk	greedy		-14.26463343	23,223.62
60	genetic_mutation	greedy		differential_mutation	greedy		-14.26463343	23,303.44
60	genetic_mutation	greedy		local_random_walk	greedy		-14.23841654	23,221.06



70	local_random_walk	greedy		random_flight		greedy		-14.29008328	27,002.28
70	genetic_crossover	greedy		random_sample		all		-14.15586960	27,068.07
70	spiral_dynamic		all		random_sample		all		-14.16651471	27,103.21
70	random_sample		all		random_search		greedy		-14.16479657	27,015.71
70	local_random_walk	all		swarm_dynamic		all		-14.22458528	27,015.71
